term,candidate,topic,topic_code,item,word_weight,expense_weight,add_weight,total_weight
2008,obama,0,O0,travel,0.418,1,0.418,418000000
2008,obama,0,O0,lodging,0.307,1,0.307,307000000
2008,obama,0,O0,agency,0.112,1,0.112,112000000
2008,obama,0,O0,fee,0.112,1,0.112,112000000
2008,obama,0,O0,facility,0.019,1,0.019,19000000
2008,obama,0,O0,catering,0.019,1,0.019,19000000
2008,obama,1,O1,payroll,0.758,1,0.758,758000000
2008,obama,1,O1,tax,0.08,1,0.08,80000000
2008,obama,1,O1,computer,0.033,1,0.033,33000000
2008,obama,1,O1,equip,0.021,1,0.021,21000000
2008,obama,1,O1,contribution,0.017,1,0.017,17000000
2008,obama,1,O1,software,0.013,1,0.013,13000000
2008,obama,2,O2,sound,0.177,1,0.177,177000000
2008,obama,2,O2,lighting,0.177,1,0.177,177000000
2008,obama,2,O2,staging,0.177,1,0.177,177000000
2008,obama,2,O2,rental,0.075,1,0.075,75000000
2008,obama,2,O2,site,0.075,1,0.075,75000000
2008,obama,2,O2,event,0.06,1,0.06,60000000
2008,obama,3,O3,advertising ,0.185,1,0.185,185000000
2008,obama,3,O3,line ,0.126,1,0.126,126000000
2008,obama,3,O3,medium ,0.112,1,0.112,112000000
2008,obama,3,O3,production ,0.09,1,0.09,90000000
2008,obama,3,O3,exp ,0.09,1,0.09,90000000
2008,obama,3,O3,fee,0.061,1,0.061,61000000
2008,obama,4,O4,per ,0.241,1,0.241,241000000
2008,obama,4,O4,diem ,0.241,1,0.241,241000000
2008,obama,4,O4,telephone ,0.129,1,0.129,129000000
2008,obama,4,O4,printing ,0.058,1,0.058,58000000
2008,obama,4,O4,office ,0.041,1,0.041,41000000
2008,obama,4,O4,supply,0.041,1,0.041,41000000
2008,mccain,0,M0,payroll,0.37,0.474,0.175,175000000
2008,mccain,0,M0,tax,0.066,0.474,0.031,31000000
2008,mccain,0,M0,printing,0.066,0.474,0.031,31000000
2008,mccain,0,M0,credit,0.053,0.474,0.025,25000000
2008,mccain,1,M1,catering,0.11,0.474,0.052,52000000
2008,mccain,1,M1,equipment,0.089,0.474,0.042,42000000
2008,mccain,1,M1,petty,0.085,0.474,0.04,40000000
2008,mccain,1,M1,cash,0.085,0.474,0.04,40000000
2008,mccain,2,M2,travel,0.517,0.474,0.245,245000000
2008,mccain,2,M2,transfer,0.164,0.474,0.078,78000000
2008,mccain,2,M2,beverage,0.03,0.474,0.014,14000000
2008,mccain,2,M2,food,0.03,0.474,0.014,14000000
2008,mccain,3,M3,consulting,0.148,0.474,0.07,70000000
2008,mccain,3,M3,gotv,0.094,0.474,0.045,45000000
2008,mccain,3,M3,staging,0.058,0.474,0.027,27000000
2008,mccain,3,M3,phone,0.042,0.474,0.02,20000000
2012,obama,0,O0,fee,0.311,0.967,0.301,301000000
2012,obama,0,O0,travel,0.308,0.967,0.298,298000000
2012,obama,0,O0,agency,0.307,0.967,0.297,297000000
2012,obama,0,O0,parking,0.011,0.967,0.011,11000000
2012,obama,1,O1,computer,0.194,0.967,0.188,188000000
2012,obama,1,O1,chargeback,0.169,0.967,0.163,163000000
2012,obama,1,O1,equipment,0.169,0.967,0.163,163000000
2012,obama,1,O1,sound,0.068,0.967,0.066,66000000
2012,obama,2,O2,payroll,0.748,0.967,0.723,723000000
2012,obama,2,O2,tax,0.074,0.967,0.072,72000000
2012,obama,2,O2,planning,0.033,0.967,0.032,32000000
2012,obama,2,O2,service,0.029,0.967,0.028,28000000
2012,obama,3,O3,printing,0.25,0.967,0.242,242000000
2012,obama,3,O3,medium,0.101,0.967,0.098,98000000
2012,obama,3,O3,fee,0.086,0.967,0.083,83000000
2012,obama,3,O3,production,0.079,0.967,0.076,76000000
2012,obama,4,O4,lodging,0.425,0.967,0.411,411000000
2012,obama,4,O4,travel,0.425,0.967,0.411,411000000
2012,obama,4,O4,telephone,0.044,0.967,0.043,43000000
2012,obama,4,O4,event,0.02,0.967,0.019,19000000
2012,obama,5,O5,supply,0.206,0.967,0.199,199000000
2012,obama,5,O5,office,0.191,0.967,0.185,185000000
2012,obama,5,O5,catering,0.108,0.967,0.104,104000000
2012,obama,5,O5,facility,0.108,0.967,0.104,104000000
2012,romney,0,R0,payroll,0.379,1.285,0.487,487000000
2012,romney,0,R0,service,0.223,1.285,0.287,287000000
2012,romney,0,R0,catering,0.058,1.285,0.075,75000000
2012,romney,0,R0,printing,0.035,1.285,0.045,45000000
2012,romney,0,R0,design,0.035,1.285,0.045,45000000
2012,romney,1,R1,air,0.459,1.285,0.59,590000000
2012,romney,1,R1,lodging,0.298,1.285,0.383,383000000
2012,romney,1,R1,credit,0.065,1.285,0.084,84000000
2012,romney,1,R1,purchase,0.027,1.285,0.035,35000000
2012,romney,1,R1,office,0.018,1.285,0.023,23000000
2012,romney,2,R2,travel,0.121,1.285,0.156,156000000
2012,romney,2,R2,food,0.121,1.285,0.156,156000000
2012,romney,2,R2,ground,0.098,1.285,0.126,126000000
2012,romney,2,R2,transportation,0.098,1.285,0.126,126000000
2012,romney,2,R2,consulting,0.092,1.285,0.118,118000000
2012,romney,3,R3,fee,0.318,1.285,0.409,409000000
2012,romney,3,R3,bank,0.302,1.285,0.388,388000000
2012,romney,3,R3,rental,0.1,1.285,0.129,129000000
2012,romney,3,R3,car,0.088,1.285,0.113,113000000
2012,romney,3,R3,expense,0.027,1.285,0.035,35000000
2016,trump,0,T0,rental,0.155,0.482,0.075,75000000
2016,trump,0,T0,catering,0.155,0.482,0.075,75000000
2016,trump,0,T0,service,0.105,0.482,0.051,51000000
2016,trump,0,T0,equipment,0.088,0.482,0.042,42000000
2016,trump,1,T1,transfer,0.395,0.482,0.19,190000000
2016,trump,1,T1,staging,0.092,0.482,0.044,44000000
2016,trump,1,T1,food,0.075,0.482,0.036,36000000
2016,trump,1,T1,beverage,0.075,0.482,0.036,36000000
2016,trump,2,T2,travel,0.674,0.482,0.325,325000000
2016,trump,2,T2,purchase,0.058,0.482,0.028,28000000
2016,trump,2,T2,equipment,0.058,0.482,0.028,28000000
2016,trump,2,T2,gotv,0.049,0.482,0.024,24000000
2016,trump,3,T3,supply,0.166,0.482,0.08,80000000
2016,trump,3,T3,office,0.166,0.482,0.08,80000000
2016,trump,3,T3,svc,0.112,0.482,0.054,54000000
2016,trump,3,T3,transportation,0.086,0.482,0.041,41000000
2016,trump,4,T4,payroll,0.507,0.482,0.244,244000000
2016,trump,4,T4,tax,0.101,0.482,0.049,49000000
2016,trump,4,T4,printing,0.101,0.482,0.049,49000000
2016,trump,4,T4,consulting,0.064,0.482,0.031,31000000
2016,hillary,0,H0,service,0.236,0.727,0.171,171000000
2016,hillary,0,H0,printing,0.236,0.727,0.171,171000000
2016,hillary,0,H0,audio,0.055,0.727,0.04,40000000
2016,hillary,0,H0,visual,0.055,0.727,0.04,40000000
2016,hillary,1,H1,supply,0.332,0.727,0.241,241000000
2016,hillary,1,H1,event,0.284,0.727,0.206,206000000
